title,artist,album,isrc,genre
Plush ,Stone Temple Pilots,Core ,USAT21702683,Rock > Grunge
Pobre soñador,El Tri,25 años,MXF159300048,Rock > Roots Rock
Polly,Nirvana,Nevermind,USGF19942506,Rock > Grunge
Poquita Fe (Sin Fe),Los Tres Reyes,Lo Mejor de Lo Mejor de RCA Victor,MXF019800537,Roots > Bolero
Por Amarte Tanto,Duelo,Desde Hoy,USUM50310887,Roots > Regional Mexicano > Texano
Por Amor A Ti,Arnulfo Jr. Rey Y As,Por Amor A Ti,MXUM71002687,Roots > Regional Mexicano > Norteño
Por Debajo De La Mesa,Luis Miguel,Romances,USWI19700001,Roots > Bolero
Por El Amor De Una Mujer ,La Firma,10 de Colección,MXF140100230,Roots > Regional Mexicano > Texano
Por Favor No Me Compares,Salomón Robles Y Sus Legendarios,Por Favor... No Me Compares,MXUM70806404,Roots > Regional Mexicano > Norteño
Por Gustarte,Various Interprets,Canto Vallenato,COS010200062,Roots > Folk > Latin Folk > Vallenato
Por Qué Tuvo Que Ser,El Poder Del Norte,A Ellas,MXUM70801199,Roots > Regional Mexicano > Norteño
Por Un Beso De Tu Boca,Miguel Morales,Sigo Enamorado,COC010225514,Roots > Folk > Latin Folk > Vallenato
Por Una Mentira,Los Diablitos,30 Mejores,COC010125140,Roots > Folk > Latin Folk > Vallenato
Post Traumatic Love,Actors,Post Traumatic Love,TCABF1204602,Rock > Post-Punk
Pregúntele A Ella,Arnulfo Jr. Rey Y As,El Pirata Del Amor,MXUM70904022,Roots > Regional Mexicano > Norteño
Presiento Que Voy A Llorar,Talismanes De Fermin Canales,Noche De Sombra,US2Y30634142,Roots > Regional Mexicano > Norteño
Press Enter To Exit,The Horrors,V,GB2DY1700189,Rock > Post-Punk
Pretty Fly (For A White Guy),The Offspring,Americana,USSM19804199,Rock > Pop Punk
Primavera Azul,Los Inquietos Del Vallenato,Eternamente,COC011308933,Roots > Folk > Latin Folk > Vallenato
Private Idaho,The B-52's,Wild Planet,USWB18000106,Rock > Post-Punk
Proud Mary,Creedence Clearwater Revival,Bayou Country,USFI86900049,Rock > Roots Rock
Psycho Killer ,Talking Heads,Talking Heads: 77 (Super Deluxe Edition) ,USRH12302157,Rock > Post-Punk
Psycho Killer (2005 Remaster),Talking Heads,OK Boomers - Top Tunes,USWB10502860,Rock > Post-Punk
Puedes Hacerme Feliz,Erick Escobar,Mis Nuevos Cantares,COF019900737,Roots > Folk > Latin Folk > Vallenato
Purple Haze,Jimi Hendrix,Are You Experienced,USQX90900765,Rock > Psychedelic Rock
Que Hare Yo,La Mafia,Ahora y Siempre,USSD19202145,Roots > Regional Mexicano > Texano
Que La Dejen Ir Al Baile,Los Invasores de Nuevo León,Puros Éxitos,MXF068300016,Roots > Regional Mexicano > Norteño
