title,artist,album,isrc,genre
First Date,blink-182,Take Off Your Pants And Jacket,USMC10110874,Music > Rock > Pop Punk
Tu Tuviste La Culpa,Los Invasores de Nuevo León,Linea De Oro: 30 Exitos,MXF068300004,Music > Roots > Regional Mexicano > Norteño
No Me Conoces Aún,Palomo,No Los Conoces Aún,MXUM70801541,Music > Roots > Regional Mexicano > Texano
Ni Tu Amigo Ni Tu Amante,Los Traileros Del Norte,Grandes Éxitos Remezclados Y Remasterizados,MXUM70801501,Music > Roots > Regional Mexicano > Norteño
Quisiera Ser Una Lágrima,Los Traileros Del Norte,Grandes Éxitos Remezclados Y Remasterizados,MXUM70801515,Music > Roots > Regional Mexicano > Norteño
Hay Algo en ti,La Leyenda,Algo en ti,MX2971400723,Music > Roots > Regional Mexicano > Texano
Sinceramente,Los Cadetes De Linares,15 Boleros de Oro,QM6DC1673708,Music > Roots > Regional Mexicano > Norteño
Mi Amigo,Los Cadetes De Linares,15 Boleros de Oro,QM6DC1673713,Music > Roots > Regional Mexicano > Norteño
Lips Like Sugar,Echo And The Bunnymen,Echo & The Bunnymen  ,GBAHT0003955,Music > Rock > Post-Punk
Psycho Killer (2005 Remaster),Talking Heads,OK Boomers - Top Tunes,USWB10502860,Music > Rock > Post-Punk
Elysium,Gavin Greenaway,Gladiator: 20th Anniversary Edition,USUMC0000067,Music > Score
Horse Race,Colourmusic,May You Marry Rich,GBCSG1400020,Music > Rock > Indie Rock
Where Do You Run To,Vivian Girls,Vivian Girls,USA3D0810062,Music > Rock > Indie Rock
Kingdom Of Rust,Doves,Kingdom Of Rust,GBDGG0800078,Music > Rock > Indie Rock
Lost in the Plot,The Dears,No Cities Left,CA71A1500082,Music > Rock > Indie Rock
Getting Even,White Lies,BIG TV,GBUM71303133,Music > Rock > Post-Punk
Live Bed Show,Pulp,Different Class,GBAAN9500146,Music > Rock > Indie Rock
Sleazy Bed Track,The Bluetones,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),GBAAM9800013,Music > Rock > Indie Rock
Disco 2000,Pulp,Different Class,GBAAN9500145,Music > Rock > Indie Rock
Origami,Saint Motel,The Original Motion Picture Soundtrack,USAT22102117,Music > Rock > Indie Rock
The World Ender,Lord Huron,Strange Trails,US53Q1200096,Music > Rock > Indie Rock
Highway to Hell,AC/DC,Highway To Hell,AUAP07900028,Music > Rock > Hard Rock > Hard Rock (Standard)
We Die Young,Alice In Chains,Facelift,USSM19000767,Music > Rock > Grunge
Dust N' Bones,Guns N' Roses,Use Your Illusion I,USGF19141502,Music > Rock > Hard Rock > Hard Rock (Standard)
Garden Of Eden,Guns N' Roses,Use Your Illusion I,USGF19141512,Music > Rock > Hard Rock > Hard Rock (Standard)
Coma,Guns N' Roses,Use Your Illusion I,USGF19141516,Music > Rock > Hard Rock > Hard Rock (Standard)
Pink,Aerosmith,Nine Lives,USSM19604431,Music > Rock > Blues Rock
It's So Easy,Guns N' Roses,Appetite For Destruction,USGF18714802,Music > Rock > Hard Rock > Hard Rock (Standard)
My Michelle,Guns N' Roses,Appetite For Destruction,USGF18714807,Music > Rock > Hard Rock > Hard Rock (Standard)
You're Crazy,Guns N' Roses,Appetite For Destruction,USGF18714810,Music > Rock > Hard Rock > Hard Rock (Standard)
Born To Be Wild,Steppenwolf,Steppenwolf,USMC16846563,Music > Rock > Hard Rock > Hard Rock (Standard)
I Got Id,Pearl Jam,rearviewmirror (greatest hits 1991-2003),USSM19501896,Music > Rock > Grunge
Say Hello 2 Heaven,Temple Of The Dog,Temple Of The Dog,USUM71607184,Music > Rock > Grunge
Hunger Strike,Temple Of The Dog,Temple Of The Dog,USUM71607186,Music > Rock > Grunge
Daughter (Remastered),Pearl Jam,Vs.,USSM11100214,Music > Rock > Grunge
You Know You're Right,Nirvana,Nirvana,USIR10211639,Music > Rock > Grunge
Glazin',Jacuzzi Boys,Glazin',USHF31103703,Music > Rock > Indie Rock
Cautionary Tale,Dylan LeBlanc,Cautionary Tale,QMHFC1500023,Music > Rock > Roots Rock
Losing My Religion,R.E.M.,Out Of Time,USC4R1605373,Music > Rock > Folk Rock
