ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
FR2X42535316,354841991,Viviendo En Mi,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USUM50110284,6713957,Viviendo En Mi,Album Version,925981,Duelo,El Amor No Acaba,Studio,,16,44.1,2,True
DELV42000635,387783621,Wind of Change,,62488,Scorpions,From The First Sting,Studio,,24,44.1,2,False
USPG19090037,632791,Wind Of Change,Album Version,62488,Scorpions,Crazy World,Studio,,16,44.1,2,True
QZMZ92126668,152096152,Y Qué,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
QZMZ92126668,153437372,Y Qué,,2331925,Inspector,Y Qué,Studio,,24,48.0,2,False
MX5332500222,340259632,Y Que ,Sonando desde el Auditorio Nacional,2331925,Inspector,Y Que ,Studio,Sonando Desde El Auditorio Nacional,24,48.0,2,False
MX5332500222,359774607,Y Que ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
MXF600900157,74718104,Y Que,,2331925,Inspector,Inspector,Studio,,16,44.1,2,True
USV128900001,34877009,You Got It,,23781,Roy Orbison,The Ultimate Collection,Studio,,24,44.1,2,False
USSM11704875,43314604,You Got It,,23781,Roy Orbison,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,Studio,,24,96.0,2,False
USLIC0701008,13176067,You Got It,,23781,Roy Orbison,Mystery Girl,Studio,,16,44.1,2,True
USGF18714810,51037038,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction,Studio,Deluxe Edition,24,192.0,2,False
USGF18714810,51041299,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USGF18819807,51041310,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USUM71803907,51041320,You're Crazy,1986 Sound City Session,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USGF18714810,50895733,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction,Studio,,24,192.0,2,True
USGF18819807,755620,You're Crazy,,54838,Guns N' Roses,G N' R Lies,Studio,,16,44.1,2,True
QZNJY2394080,246740638,¿Por Qué Tuvo Que Ser?,,296858,El Poder Del Norte,¿Por Qué Tuvo Que Ser?,Studio,,24,48.0,2,False
